"","id","GameName","TotalPlayers"
"1",245,"Counter-Strike: Global Offensive",13168
"2",164,"League of Legends",7152
"3",534,"Fortnite",4453
"4",162,"Counter-Strike",4139
"5",231,"Dota 2",3876
"6",426,"Overwatch",3494
"7",504,"PLAYERUNKNOWNâ€™S BATTLEGROUNDS",2822
"8",328,"Hearthstone",2431
"9",151,"StarCraft II",2084
"10",558,"Super Smash Bros. Ultimate",1890
"11",204,"Super Smash Bros. Melee",1881
"12",646,"VALORANT",1821
"13",439,"Rainbow Six Siege",1552
"14",226,"Counter-Strike: Source",1502
"15",335,"Team Fortress 2",1364
"16",374,"Super Smash Bros. for Wii U",1264
"17",371,"Heroes of the Storm",1253
"18",566,"Apex Legends",1166
"19",409,"Rocket League",1096
"20",554,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile",1081
"21",179,"Age of Empires II",973
"22",525,"osu!",971
"23",532,"iRacing.com",823
"24",242,"Heroes of Newerth",813
"25",364,"Call of Duty: Advanced Warfare",783
"26",152,"StarCraft: Brood War",680
"27",352,"CrossFire",629
"28",547,"Chess.com",616
"29",648,"Call of Duty: Warzone",579
"30",447,"Paladins",568
"31",331,"Project M",560
"32",529,"Arena of Valor",558
"33",158,"WarCraft III",558
"34",351,"SMITE",522
"35",205,"Super Smash Bros. Brawl",499
"36",443,"Brawlhalla",497
"37",163,"Defense of the Ancients",468
"38",406,"Tekken 7",425
"39",264,"Call of Duty 4: Modern Warfare",422
"40",425,"Call of Duty: Black Ops III",419
"41",165,"World of WarCraft",413
"42",345,"World of Tanks",403
"43",549,"Call of Duty: Black Ops 4",380
"44",272,"TrackMania 2: Stadium",345
"45",455,"Call of Duty: Infinite Warfare",341
"46",520,"Yu-Gi-Oh! Duel Links",328
"47",487,"Gwent",320
"48",556,"FIFA 19",303
